name,url,category,subcategory,tags,description,free_tier,catalog_or_supplier,status,last_checked,replacement_url,notes
Google Colab,https://colab.research.google.com,AI,Notebooks,"ai,compute",Free hosted notebooks,yes,no,unknown,,,
Hugging Face,https://huggingface.co,AI,Models,"ai,models",AI model hub,yes,no,unknown,,,
IT Tools,https://it-tools.tech,Web Tools,Developer,"tools,free",Open source utility toolbox,yes,no,unknown,,,
CyberChef,https://gchq.github.io/CyberChef,Web Tools,Encoding,"crypto,encoding",Data transform toolkit,yes,no,unknown,,,
MIT OpenCourseWare,https://ocw.mit.edu,Education,Courses,"education,free",Open course materials,yes,no,unknown,,,
Mushroom Observer,https://mushroomobserver.org,Mycology,Observation,fungi,Fungal observation database,yes,no,unknown,,,
McMaster-Carr,https://www.mcmaster.com,Materials,Supplier,hardware,Industrial catalog,n/a,yes,unknown,,,
Data.gov,https://data.gov,Datasets,Open Data,data,US open data portal,yes,no,unknown,,,
Android Developers,https://developer.android.com,Android,Docs,"android,dev",Android documentation,yes,no,unknown,,,
F-Droid,https://f-droid.org,Android,Apps,"android,oss",FOSS Android app store,yes,no,unknown,,,
Internet Archive,https://archive.org,Archives,Library,archive,Digital archive,yes,no,unknown,,,
Grants.gov,https://www.grants.gov,Grants,Funding,grants,Federal grants portal,yes,no,unknown,,,
aaarghhh/awesome_osint_blockchain_analysis,https://github.com/aaarghhh/awesome_osint_blockchain_analysis,AI,OSINT,"github,ai,osint,awesome_list,github_api,cryptocurrency,web3",A list of useful Crypto resources for OSINT investigations,,,unknown,,,source=github api: awesome osint | confidence=93
codefuse-ai/Awesome-Code-LLM,https://github.com/codefuse-ai/Awesome-Code-LLM,AI,Data,"github,ai,llm,awesome_list,github_api,awesome,datasets,nlp,papers,software-engineering,survey","[TMLR] A curated list of language modeling researches for code (and other software engineering activities), plus related datasets.",,,unknown,,,source=github api: awesome dataset | confidence=93
